,week_ending,week_number,weekly_gross_overall,show,theatre,weekly_gross,potential_gross,avg_ticket_price,top_ticket_price,seats_sold,seats_in_theatre,pct_capacity,performances,previews
761,1986-03-09,40,3017183.0,The Mystery of Edwin Drood,Imperial Theatre,220977.0,0.0,32.85,0.0,6727,1425,0.5901,8,0
762,1986-03-16,41,3442545.0,42nd Street,St. James Theatre,223095.0,0.0,28.66,0.0,7783,1655,0.5878,8,0
763,1986-03-16,41,3442545.0,A Chorus Line,Sam S. Shubert Theatre,223335.0,0.0,29.15,0.0,7662,1472,0.6506,8,0
764,1986-03-16,41,3442545.0,Benefactors,Brooks Atkinson Theatre,176853.0,0.0,28.55,0.0,6194,1080,0.7169,8,0
765,1986-03-16,41,3442545.0,Big River,Eugene O'Neill Theatre,234356.0,0.0,33.84,0.0,6926,1018,0.8504,8,0
766,1986-03-16,41,3442545.0,Biloxi Blues,Neil Simon Theatre,138261.0,0.0,23.53,0.0,5877,1336,0.5499,8,0
767,1986-03-16,41,3442545.0,Brighton Beach Memoirs,46th Street Theatre,82647.0,0.0,18.52,0.0,4462,1368,0.4077,8,0
768,1986-03-16,41,3442545.0,Cats,Winter Garden Theatre,459518.0,0.0,38.3,0.0,11998,1482,1.012,8,0
769,1986-03-16,41,3442545.0,Corpse!,Helen Hayes Theatre,42000.0,0.0,52.5,0.0,800,499,0.2004,8,0
770,1986-03-16,41,3442545.0,Execution of Justice,Virginia Theatre,46222.0,0.0,13.34,0.0,3466,1149,0.3771,4,4
771,1986-03-16,41,3442545.0,Hay Fever,Music Box Theatre,80349.0,0.0,20.1,0.0,3998,1016,0.4919,8,0
772,1986-03-16,41,3442545.0,I'm Not Rappaport,Booth Theatre,116316.0,0.0,24.69,0.0,4712,785,0.7503,8,0
773,1986-03-16,41,3442545.0,Jerry's Girls,St. James Theatre,177563.0,0.0,26.58,0.0,6680,1621,0.5151,8,0
774,1986-03-16,41,3442545.0,La Cage aux Folles,Palace Theatre,344087.0,0.0,34.74,0.0,9906,1683,0.7357,8,0
775,1986-03-16,41,3442545.0,Oh! Calcutta!,Edison Theatre,33594.0,0.0,14.24,0.0,2359,499,0.5253,9,0
776,1986-03-16,41,3442545.0,Precious Sons,Longacre Theatre,63081.0,0.0,16.22,0.0,3890,1092,0.4453,0,8
777,1986-03-16,41,3442545.0,Singin' in the Rain,Gershwin Theatre,212821.0,0.0,27.73,0.0,7674,1933,0.4962,8,0
778,1986-03-16,41,3442545.0,Song and Dance,Royale Theatre,179390.0,0.0,32.54,0.0,5513,1039,0.6633,8,0
779,1986-03-16,41,3442545.0,Tango Argentino,Mark Hellinger Theatre,217430.0,0.0,29.92,0.0,7268,1603,0.5667,8,0
780,1986-03-16,41,3442545.0,The Mystery of Edwin Drood,Imperial Theatre,240808.0,0.0,31.4,0.0,7669,1425,0.6727,8,0
781,1986-03-16,41,3442545.0,The Search for Signs of Intelligent Life in the Universe,Plymouth Theatre,150819.0,0.0,28.61,0.0,5272,1079,1.0,4,0
782,1986-03-23,42,3533147.0,42nd Street,St. James Theatre,234218.0,0.0,30.79,0.0,7608,1655,0.5746,8,0
783,1986-03-23,42,3533147.0,A Chorus Line,Sam S. Shubert Theatre,222512.0,0.0,29.61,0.0,7515,1472,0.6382,8,0
784,1986-03-23,42,3533147.0,Benefactors,Brooks Atkinson Theatre,179899.0,0.0,28.77,0.0,6252,1080,0.7236,8,0
785,1986-03-23,42,3533147.0,Big River,Eugene O'Neill Theatre,229115.0,0.0,35.62,0.0,6432,1018,0.7898,8,0
786,1986-03-23,42,3533147.0,Biloxi Blues,Neil Simon Theatre,126305.0,0.0,23.57,0.0,5358,1336,0.5013,8,0
787,1986-03-23,42,3533147.0,Brighton Beach Memoirs,46th Street Theatre,79708.0,0.0,19.33,0.0,4124,1368,0.3768,8,0
788,1986-03-23,42,3533147.0,Cats,Winter Garden Theatre,460779.0,0.0,38.37,0.0,12010,1482,1.013,8,0
789,1986-03-23,42,3533147.0,Corpse!,Helen Hayes Theatre,42500.0,0.0,50.0,0.0,850,499,0.2129,8,0
790,1986-03-23,42,3533147.0,Execution of Justice,Virginia Theatre,26332.0,0.0,13.76,0.0,1913,1149,0.2081,8,0
791,1986-03-23,42,3533147.0,Hay Fever,Music Box Theatre,84990.0,0.0,22.95,0.0,3704,1016,0.4557,8,0
792,1986-03-23,42,3533147.0,I'm Not Rappaport,Booth Theatre,119211.0,0.0,25.3,0.0,4712,785,0.7503,8,0
793,1986-03-23,42,3533147.0,Jerry's Girls,St. James Theatre,181950.0,0.0,25.56,0.0,7118,1621,0.5489,8,0
794,1986-03-23,42,3533147.0,La Cage aux Folles,Palace Theatre,334324.0,0.0,33.79,0.0,9894,1683,0.7348,8,0
795,1986-03-23,42,3533147.0,Oh! Calcutta!,Edison Theatre,32746.0,0.0,14.21,0.0,2304,499,0.513,9,0
796,1986-03-23,42,3533147.0,Precious Sons,Longacre Theatre,71085.0,0.0,19.35,0.0,3674,1092,0.4206,4,4
797,1986-03-23,42,3533147.0,Singin' in the Rain,Gershwin Theatre,234574.0,0.0,28.99,0.0,8091,1933,0.5232,8,0
798,1986-03-23,42,3533147.0,Song and Dance,Royale Theatre,197972.0,0.0,31.47,0.0,6290,1039,0.7567,8,0
799,1986-03-23,42,3533147.0,Tango Argentino,Mark Hellinger Theatre,192089.0,0.0,28.83,0.0,6662,1603,0.5195,8,0
800,1986-03-23,42,3533147.0,The Mystery of Edwin Drood,Imperial Theatre,256229.0,0.0,32.22,0.0,7952,1425,0.6975,8,0
801,1986-03-23,42,3533147.0,The Search for Signs of Intelligent Life in the Universe,Plymouth Theatre,226609.0,0.0,27.39,0.0,8273,1079,0.9584,8,0
802,1986-03-30,43,3991705.0,42nd Street,St. James Theatre,285103.0,0.0,29.67,0.0,9608,1655,0.7257,8,0
803,1986-03-30,43,3991705.0,A Chorus Line,Sam S. Shubert Theatre,285565.0,0.0,29.09,0.0,9816,1472,0.8336,8,0
804,1986-03-30,43,3991705.0,Benefactors,Brooks Atkinson Theatre,178990.0,0.0,27.76,0.0,6448,1080,0.7463,8,0
805,1986-03-30,43,3991705.0,Big River,Eugene O'Neill Theatre,288438.0,0.0,36.31,0.0,7944,1018,0.9754,8,0
806,1986-03-30,43,3991705.0,Biloxi Blues,Neil Simon Theatre,145573.0,0.0,22.29,0.0,6532,1336,0.6112,8,0
807,1986-03-30,43,3991705.0,Brighton Beach Memoirs,46th Street Theatre,90237.0,0.0,19.26,0.0,4684,1368,0.428,8,0
808,1986-03-30,43,3991705.0,Cats,Winter Garden Theatre,456972.0,0.0,38.02,0.0,12018,1482,1.0137,8,0
809,1986-03-30,43,3991705.0,Corpse!,Helen Hayes Theatre,48355.0,0.0,40.2,0.0,1203,499,0.3014,8,0
810,1986-03-30,43,3991705.0,Hay Fever,Music Box Theatre,106736.0,0.0,23.53,0.0,4536,1016,0.5581,8,0
811,1986-03-30,43,3991705.0,I'm Not Rappaport,Booth Theatre,130262.0,0.0,24.45,0.0,5328,785,0.8484,8,0
812,1986-03-30,43,3991705.0,Jerry's Girls,St. James Theatre,159482.0,0.0,25.67,0.0,6212,1621,0.479,8,0
813,1986-03-30,43,3991705.0,La Cage aux Folles,Palace Theatre,354981.0,0.0,33.58,0.0,10572,1683,0.7852,8,0
814,1986-03-30,43,3991705.0,Oh! Calcutta!,Edison Theatre,39805.0,0.0,14.26,0.0,2791,499,0.6215,9,0
815,1986-03-30,43,3991705.0,Precious Sons,Longacre Theatre,52591.0,0.0,15.07,0.0,3489,1092,0.3994,8,0
816,1986-03-30,43,3991705.0,Singin' in the Rain,Gershwin Theatre,269940.0,0.0,28.71,0.0,9403,1933,0.6081,8,0
817,1986-03-30,43,3991705.0,So Long on Lonely Street,Jack Lawrence Theatre,13442.0,0.0,11.1,0.0,1211,499,0.4854,0,5
818,1986-03-30,43,3991705.0,Social Security,Ethel Barrymore Theatre,80632.0,0.0,22.02,0.0,3661,1054,0.5789,0,6
819,1986-03-30,43,3991705.0,Song and Dance,Royale Theatre,223362.0,0.0,32.0,0.0,6980,1039,0.8397,8,0
820,1986-03-30,43,3991705.0,Tango Argentino,Mark Hellinger Theatre,271073.0,0.0,30.07,0.0,9016,1603,0.7031,8,0
821,1986-03-30,43,3991705.0,"The Flying Karamazov Brothers ""Juggling and Cheap Theatrics""",Vivian Beaumont Theater,0.0,0.0,0.0,0.0,0,1105,0.0,0,4
822,1986-03-30,43,3991705.0,The Mystery of Edwin Drood,Imperial Theatre,272700.0,0.0,30.8,0.0,8854,1425,0.7767,8,0
823,1986-03-30,43,3991705.0,The Search for Signs of Intelligent Life in the Universe,Plymouth Theatre,237466.0,0.0,27.68,0.0,8579,1079,0.9939,8,0
824,1986-04-06,44,3632735.0,42nd Street,St. James Theatre,262723.0,0.0,29.81,0.0,8814,1655,0.6657,8,0
825,1986-04-06,44,3632735.0,A Chorus Line,Sam S. Shubert Theatre,236833.0,0.0,27.9,0.0,8490,1472,0.721,8,0
826,1986-04-06,44,3632735.0,Benefactors,Brooks Atkinson Theatre,166552.0,0.0,28.26,0.0,5894,1080,0.6822,8,0
827,1986-04-06,44,3632735.0,Big Deal,Broadway Theatre,142591.0,0.0,29.06,0.0,4907,1741,0.5637,0,5
828,1986-04-06,44,3632735.0,Big River,Eugene O'Neill Theatre,261661.0,0.0,35.52,0.0,7366,1018,0.9045,8,0
829,1986-04-06,44,3632735.0,Biloxi Blues,Neil Simon Theatre,122002.0,0.0,26.43,0.0,4616,1336,0.4319,8,0
830,1986-04-06,44,3632735.0,Brighton Beach Memoirs,46th Street Theatre,77563.0,0.0,20.21,0.0,3838,1368,0.3507,8,0
831,1986-04-06,44,3632735.0,Cats,Winter Garden Theatre,463136.0,0.0,38.5,0.0,12028,1482,1.0145,8,0
832,1986-04-06,44,3632735.0,Corpse!,Helen Hayes Theatre,45900.0,0.0,34.77,0.0,1320,499,0.3307,8,0
833,1986-04-06,44,3632735.0,I'm Not Rappaport,Booth Theatre,120639.0,0.0,24.12,0.0,5002,785,0.7965,8,0
834,1986-04-06,44,3632735.0,Jerry's Girls,St. James Theatre,155955.0,0.0,31.79,0.0,4906,1621,0.3783,8,0
835,1986-04-06,44,3632735.0,La Cage aux Folles,Palace Theatre,340286.0,0.0,33.6,0.0,10127,1683,0.7522,8,0
836,1986-04-06,44,3632735.0,Loot,Music Box Theatre,36585.0,0.0,16.6,0.0,2204,1010,0.4364,0,5
837,1986-04-06,44,3632735.0,Oh! Calcutta!,Edison Theatre,33372.0,0.0,14.23,0.0,2345,499,0.5222,9,0
838,1986-04-06,44,3632735.0,Precious Sons,Longacre Theatre,60178.0,0.0,16.95,0.0,3550,1092,0.4064,8,0
839,1986-04-06,44,3632735.0,Singin' in the Rain,Gershwin Theatre,273058.0,0.0,27.31,0.0,9998,1933,0.6465,8,0
840,1986-04-06,44,3632735.0,So Long on Lonely Street,Jack Lawrence Theatre,26050.0,0.0,10.56,0.0,2468,499,0.6182,5,3
841,1986-04-06,44,3632735.0,Social Security,Ethel Barrymore Theatre,113936.0,0.0,17.51,0.0,6508,1054,0.7718,0,8
842,1986-04-06,44,3632735.0,Song and Dance,Royale Theatre,211955.0,0.0,31.59,0.0,6710,1039,0.8073,8,0
843,1986-04-06,44,3632735.0,"The Flying Karamazov Brothers ""Juggling and Cheap Theatrics""",Vivian Beaumont Theater,0.0,0.0,0.0,0.0,0,1105,0.0,8,0
844,1986-04-06,44,3632735.0,The Mystery of Edwin Drood,Imperial Theatre,258637.0,0.0,30.57,0.0,8461,1425,0.7422,8,0
845,1986-04-06,44,3632735.0,The Search for Signs of Intelligent Life in the Universe,Plymouth Theatre,223123.0,0.0,27.07,0.0,8242,1079,0.9548,8,0
846,1986-04-13,45,3409648.0,42nd Street,St. James Theatre,220125.0,0.0,31.03,0.0,7094,1655,0.5358,8,0
847,1986-04-13,45,3409648.0,A Chorus Line,Sam S. Shubert Theatre,208001.0,0.0,27.19,0.0,7650,1472,0.6496,8,0
848,1986-04-13,45,3409648.0,Benefactors,Brooks Atkinson Theatre,154158.0,0.0,28.1,0.0,5486,1080,0.635,8,0
849,1986-04-13,45,3409648.0,Big Deal,Broadway Theatre,225612.0,0.0,34.57,0.0,6526,1741,0.4686,5,3
850,1986-04-13,45,3409648.0,Big River,Eugene O'Neill Theatre,208047.0,0.0,35.56,0.0,5850,1018,0.7183,8,0
851,1986-04-13,45,3409648.0,Biloxi Blues,Neil Simon Theatre,112442.0,0.0,24.52,0.0,4586,1336,0.4291,8,0
852,1986-04-13,45,3409648.0,Brighton Beach Memoirs,46th Street Theatre,66344.0,0.0,18.04,0.0,3678,1368,0.3361,8,0
853,1986-04-13,45,3409648.0,Cats,Winter Garden Theatre,456152.0,0.0,38.03,0.0,11996,1482,1.0118,8,0
